Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
Panama,Citrus Marine S.A. ,Daffodil,8028149,Panama,"Alang, India",Citrus Marine S.A. ,Citrus Marine S.A. ,1983,490,12537,Bulker,Y,
Panama,NSCVO Incorporated,Saadet C.,8801357,Panama,"Alang, India",NSCVO Incorporated,NSCVO Incorporated,1991,unknown,unknown,Containership,N,
Panama,Golden Bridge Shipping Incorporated ,Golden Bridge,7719222,St Kitts-Nevis,"Alang, India",Golden Bridge Shipping Incorporated ,Golden Bridge Shipping Incorporated ,1981,unknown,unknown,General cargo ship,Y,
Philippines,Negros Navigation Company Incorporated,Anna 1,8908533,Comoros,"Alang, India",Negros Navigation Company Incorporated,2Go Group Incorporated ,1990,420,17898,Containership,N,
Philippines,Negros Navigation Company Incorporated,Kally C,8908521,Comoros,"Alang, India",Negros Navigation Company Incorporated,2Go Group Incorporated ,1990,unknown,unknown,Containership,Y,
Philippines,Magsaysay Maritime Corporation,Zui Yoh,8909147,Philippines,"Alang, India",Transocean Transport Corporation ,Trilines Shipping Incorporated ,1990,425,9088,Wood chip carrier,Y,
Poland,Euroafrica Shipping Line Company Limited,Alexander I,8302260,Malta,"Alang, India",Euroafrica Shipping Line Company Limited,Cevas Shipping Limited ,1990,450,6876,General Cargo ship,N,
Romania,Cosena S.r.l. Constantza,Andra,7919846,St Vincent & Grenadines,"Alang, India",Cosena S.r.l. Constantza,Lafkihi Company Limited ,1980,505,7796,Bulker,Y,
Russia,Silverhope Holding Limited,Akademik Vavilov,8402199,Belize,"Alang, India",Silverhope Holding Limited,Akademikis Vavilovs Shipping Company Limited ,1985,510,5996,Reefer,Y,
Russia,Murmansk Shipping Company Joint-Stock Company,Kapitan Nazarev,8416542,Cyprus,"Alang, India",Bonmar S.A. ,NB Two Shipping Limited ,1984,unknown,7956,Bulker,N,
Russia,Murmansk Shipping Company Joint-Stock Company ,Kapitan Vakula,8326321,Cyprus,"Alang, India",Bonmar S.A. ,NB Two Shipping Limited ,1983,unknown,7953,Bulker,N,
Russia,Murmansk Shipping Company Joint-Stock Company ,Tim Buck,8319861,Cyprus,"Alang, India",Bonmar S.A. ,NB Shipping Limited ,1983,429,7971,Bulker,N,
Russia,Baltic Mercur Joint Stock Company,Atlantic Hope,8715285,Malta,"Alang, India",Baltic Mercur Joint Stock Company,Baltic Mercur Joint Stock Company,1987,unknown,unknown,RoRo,N,
Russia,Reftransflot Joint Stock Company,Ref Star,8415550,Panama,"Alang, India",Reftransflot Joint Stock Company,Ref Pluton Company Incorporated ,1984,463,unknown,Reefer,N,
Russia,Azia Shipping Holdings Limited,Professor Barabanov,8120662,Russia,"Alang, India",Azia Shipping Holdings Limited,Morley Marine Limited ,1983,485,10816,RoRo,N,
Russia,Joint Stock Company Murmanskiy Trawl Fleet,Kapitan Telov,7828619,Russia,"Alang, India",Joint Stock Company Murmanskiy Trawl Fleet,Joint Stock Company Murmanskiy Trawl Fleet,1979,unknown,unknown,Fish factory,Y,
Russia,OOO Koma Shipping Service,Tuloma,8123731,St Vincent & Grenadines,"Alang, India",OOO Koma Shipping Service,Breeze Navigation Limited ,1984,390,7777,Bulker,Y,
Saudi Arabia,Abbar & Zainy Group of Companies ,Al Mareekh,8211461,Saudi Arabia,"Alang, India",Star Marine Transportation Company ,Star Marine Transportation Company ,1984,unknown,unknown,Reefer,Y,
Saudi Arabia,The Shipping Corporation of Saudi Arabia ,Ahmed Arab,8122581,Saudi Arabia,"Alang, India",The Shipping Corporation of Saudi Arabia ,The Shipping Corporation of Saudi Arabia ,1983,unknown,unknown,General Cargo ship,Y,
Singapore,Equinox Offshore Accommodation Limited,ARV 2,7901772,Cyprus,"Alang, India",Equinox Offshore Accommodation Limited,EOAL Cyprus ARV2 Limited ,1982,320,10575,Repair ship,Y,
Singapore,Pacific International Lines (Private) Limited (PIL),Selatan Makmur,8324309,Indonesia,"Alang, India",Pacific International Lines (Private) Limited (PIL),P.T. Pelayaran Samudera Selatan ,1984,480,2625,Containership,N,
Singapore,Thome Ship Management Private Limited,Northern Bell,8701662,Norway,"Alang, India",Thome Ship Management Private Limited,LR Shipping Two Limited ,1990,488,16283,Chemical and oil tanker,N,
Singapore,Glory Ship Management Private Limited,Atlantia,8221703,Panama,"Alang, India",Glory Ship Management Private Limited,Golden Lucky Limited S.A. ,1984,435,9621,Chemical and oil tanker,N,
Singapore,KS Maritime Private Limited,KS Ace,8018429,Panama,"Alang, India",KS Maritime Private Limited,KS Shipping Corporation ,1983,400,7800,Bulker,Y,
Singapore,Raffles Shipping Corporation Private Limited,Steadfast,8217221,Sierra Leone,"Alang, India",Raffles Shipmanagement Services Private Limited ,Asset Star Limited ,1983,unknown,5536,Chemical and oil tanker,N,
Singapore,Glory Ship Management Private Limited ,Gemini,8412352,Singapore,"Alang, India",Glory Ship Management Private Limited ,Golden Spring Line Private Limited ,1986,495,9346,Chemical and oil tanker,N,
Singapore,Glory Ship Management Private Limited,Oriental Glory,8202288,Singapore,"Alang, India",Glory Ship Management Private Limited,Golden Global Maritime Private Limited ,1982,unknown,unknown,Bulker,Y,
Singapore,Sinyuan Shipping Private Limited,Da Ji,8715467,Singapore,"Alang, India",Sinyuan Shipping Private Limited,Sinyuan Shipping Private Limited,1989,485,6635,General cargo ship,N,
Singapore,Neptune Orient Lines Limited (NOL) ,Alex,9015486,St Kitts-Nevis,"Alang, India",APL Limited ,APL (Bermuda) Limited ,1992,425,unknown,Containership,Y,
Singapore,Neptune Orient Lines Limited (NOL) ,Irco,8802909,St Kitts-Nevis,"Alang, India",APL Limited ,APL (Bermuda) Limited ,1989,unknown,unknown,Containership,Y,
Singapore,Neptune Orient Lines Limited (NOL),Ruby,8710704,St Kitts-Nevis,"Alang, India",APL Limited ,APL (Bermuda) Limited ,1988,unknown,unknown,Containership,Y,
Singapore,Neptune Orient Lines Limited (NOL) ,Topa,8710716,St Kitts-Nevis,"Alang, India",APL Limited ,APL (Bermuda) Limited ,1989,unknown,unknown,Containership,Y,
Singapore,Santos Tankers (S) Private Limited ,Patcharawadee 8,7530638,Thailand,"Alang, India",Santos Tankers (S) Private Limited ,Siam Gas & Oil Transport Company Limited ,1976,unknown,1790,LPG Tanker,Y,
Singapore,Raffles Shipping Corporation Private Limited,Theresa Blossom,8000276,Tuvalu,"Alang, India",Raffles Shipmanagement Services Private Limited ,Felicia Shipping Company Private Limited ,1981,unknown,unknown,Chemical and oil tanker,N,
Singapore,Raffles Shipping Corporation Private Limited,Theresa Leopard,8310657,Tuvalu,"Alang, India",Raffles Shipmanagement Services Private Limited ,Luck Bright Enterprises Limited ,1985,unknown,10730,Chemical and oil tanker,N,
Singapore,Raffles Shipping Corporation Private Limited,Theresa Mediterranean,8308111,Tuvalu,"Alang, India",Raffles Shipmanagement Services Private Limited ,Victoria Shipping Company Private Limited ,1986,445,14809,Chemical and oil tanker,N,
South Korea,Korea Shipmanagers Company Limited ,Lucretia,9161962,Panama,"Alang, India",Korea Shipmanagers Company Limited ,Boleyn Incorporated ,1997,unknown,unknown,Chemical tanker,N,
South Korea,SK Shipping Company Limited ,Singa,8412766,Panama,"Alang, India",SK Shipping (Singapore) Private Limited ,Prime Shipholdings S.A. ,1985,480,8817,Bulker,Y,
South Korea,Hyundai Merchant Marine Company Limited,Cosmos,8503761,Sierra Leone,"Alang, India",Hyundai Merchant Marine Company Limited,Hyundai Merchant Marine Company Limited,1986,443,unknown,Bulker,Y,
South Korea,STX Pan Ocean Company Limited ,Ocean Q,8608092,Sierra Leone,"Alang, India",STX Pan Ocean Company Limited ,STX Pan Ocean Company Limited ,1987,430,23138,Bulker,Y,
South Korea,Chang Myung Shipping Company Limited,C. Koreana,8814732,South Korea,"Alang, India",Chang Myung Shipping Company Limited,Chang Myung Shipping Company Limited,1990,406,18447,Bulker,Y,
South Korea,Kingsway Shipping Company Limited ,Beauty,8010958,South Korea,"Alang, India",Kingsway Shipping Company Limited ,Global Service Corporation ,1983,391,19050,Bulker,Y,
South Korea,Saehan Marine (Service) Company Limited,Saehan Baystar,8516653,South Korea,"Alang, India",Saehan Marine (Service) Company Limited,Saehan Marine (Service) Company Limited,1985,702,3042,Chemical and oil tanker,N,
South Korea,TCT Maritime Company Limited,TCT Hope,8024260,South Korea,"Alang, India",TCT Maritime Company Limited,TCT Maritime Company Limited,1982,431,11820,Bulker,Y,
South Korea,STX Pan Ocean Company Limited,Ocean U.,8707513,St Kitts-Nevis,"Alang, India",STX Pan Ocean Company Limited,STX Pan Ocean Company Limited,1988,380,30064,Bulker,Y,
Spain,Empresa Naviera Elcano S.A.,Castillo de Montalban,7526596,Brazil,"Alang, India",Empresa de Navegacao Elcano S.A. ,Empresa de Navegacao Elcano S.A. ,1982,478,13404,Bulker,Y,
Spain,Empresa Naviera Elcano S.A.,Castillo de Soutomaior,7526560,Brazil,"Alang, India",Empresa Naviera Elcano S.A.,Alumina do Norte do Brasil S.A. (ALUNORTE) ,1981,485,13200,Bulker,Y,
Spain,Baltic Atlant Shipping Limited,Frio Gaspar,7508348,Comoros,"Alang, India",Baltic Atlant Shipping Limited,Rio Mar Pescadores SA ,1978,unknown,2400,Reefer,Y,
St Vincent & Grenadines,Sea Lion Marine Limited ,Rican,7621932,Comoros,"Alang, India",Sea Lion Marine Limited ,Sea Lion Marine Limited ,1979,unknown,unknown,Bulker,Y,
Sweden,Stena Group,Sea Project,7301491,Comoros,"Alang, India",Stena Group,Stena Line Holland BV ,1973,485,6962,Passenger ship,Y,
Sweden,Holy House Shipping AB,Snow Drift,7228302,Cook Islands,"Alang, India",Holy House Shipping AB,Snow Drift Shipping Limited ,1973,458,9220,Reefer,Y,
Sweden,Stena Group,Transfer,7528570,Latvia,"Alang, India",Stena Group,Stena Line Limited ,1977,unknown,9121,Passenger ship,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Dymphna,8608195,Malta,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Mediterranean Shipping Company (MSC) SA ,1988,430,12572,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Amy,9003483,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Amy S.A. ,1992,unknown,6417,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Anahita,8413291,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Anahita S.A. ,1985,505,12876,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Brooke,9007506,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Bratterma Corporation ,1992,unknown,6260,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA,MSC Carina,8512401,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA,Compania Naviera Carina S.A.,1986,514,15553,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Chelsea,8128925,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Chelsea S.A. ,1983,unknown,7845,Containership,N,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Clara,8511304,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,C.N.C. Compania Naviera Clara S.A. ,1986,unknown,15137,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Hailey,8818180,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Hailey S.A. ,1994,486,17009,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Hanne,8618449,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Blunt Capital Corporation ,1989,493,15000,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC India,8918069,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Hexam Trading ,1991,423,7436,General Cargo ship,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA,MSC Jeanne,7814826,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA,Compania Naviera Jeanne S.A. ,1979,515,14778,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Leila,8520408,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Leila S.A. ,1987,unknown,7900,General Cargo ship,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Maria,8201703,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Maria S.A. ,1985,487,10655,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Nora,8511299,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Nora S.A. ,1986,unknown,15137,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Oslo,8618451,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Tal Overseas S.A. ,1989,unknown,15267,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Patricia,9000209,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Patricia S.A.,1990,375,7560,General Cargo ship,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Peggy,8208672,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Acrewall Investments Incorporated ,1984,480,13845,Containership,N,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Samantha,8013766,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Samantha S.A. ,1982,468,13179,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Sukaiyna,8310530,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Sukaiyna S.A.,1987,unknown,10482,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Tia,8212635,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Nav. Tia S.A.,1984,unknown,21263,Containership,Y,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Tina,8512243,Panama,"Alang, India",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Tina S.A. ,1986,487,15806,Containership,Y,
Syria,Muhieddine Shipping Company ,Khaled Ben Muhieddine,8220321,Belize,"Alang, India",Judi Group J.K.M. ,Everest Shipping & Trading Marshall Islands Company ,1983,402,7294,Bulker,Y,
Syria,Asra Shipping Company Limited ,Ikarous,7712016,Panama,"Alang, India",Asra Shipping Company Limited ,Ikaros Maritime S.A. ,1978,unknown,1802,General cargo ship,N,
Syria,Reem Maritime Limited,Al Amal Bellah,8109905,St Vincent & Grenadines,"Alang, India",Reem Maritime Limited,White Tower Shipping Company ,1982,420,5725,Bulker ,Y,
Syria,Mohamed Mohiddin & Sons,Afamia,7710642,Tanzania,"Alang, India",Akram Shipping Company ,Deep Shipping Corporation ,1979,415,4127,General cargo ship,Y,
Syria,Sea Rose Maritime LLC,Emden 1,7915175,Togo,"Alang, India",Sea Rose Maritime LLC,Sea Rose Maritime LLC,1981,unknown,unknown,General Cargo ship,Y,
Taiwan,Eddie Steamship Company Limited,Conq,8122062,Panama,"Alang, India",Eddie Steamship Company Limited,Conqueror Marine Company Limited ,1982,unknown,8979,Bulker,Y,
Taiwan,Yang Ming Marine Transport Corporation ,M. Asia,8807727,St Kitts-Nevis,"Alang, India",Yang Ming Marine Transport Corporation ,Yang Ming Marine Transport Corporation ,1991,unknown,unknown,Containership,Y,
Thailand,Thoresen Thai Agencies Public Company Limited,Thor Jupiter,8311065,Thailand,"Alang, India",Thoresen & Company (Bangkok) Limited ,Thor Jupiter Shipping Company Limited ,1986,436,9482,Bulker,Y,
Turkey,International Shipping Group & Trading Limited,Maya Land,7645134,Belize,"Alang, India",International Shipping Group & Trading Limited,Maya Land Shipping & Trading ,1977,unknown,unknown,Bulker,Y,
Turkey,Topallar Deniz Nakliyat Ticaret ve Sanayi A.S. ,A.Bedevi,8322210,Georgia,"Alang, India",Topallar Deniz Nakliyat Ticaret ve Sanayi A.S. ,Poleshipping Incorporated ,1985,460,4350,Containership,N,
Turkey,M.Faruk Urkmez Demir ve Denizcilik Ticaret A.S.,Ceren Urkmez,8501139,Marshall Islands,"Alang, India",Furtrans Denizcilik Ticaret ve Sanayi A.S. ,USG Shipping Limited ,1985,unknown,5865,General Cargo ship,N,
Turkey,Ceren Denizcilik Sanayi Limited Sirketi,Patmos,7361518,Panama,"Alang, India",Ceren Denizcilik Sanayi Limited Sirketi,San Salvatore Shipping Incorporated ,1974,unknown,unknown,Bulker,Y,
Turkey,Emir Denizcilik Insaat Sanayi ve Tic. A.S. ,Ocean M.,8025525,Panama,"Alang, India",Emir Denizcilik Insaat Sanayi ve Tic. A.S. ,Warwick Shipping S.A. ,1982,428,7913,Bulker,Y,
Turkey,Gamma Shipping Transport,Ansera,7632979,Panama,"Alang, India",Gamma Shipping Transport,Luvia Shipping Incorporated ,1977,unknown,6200,Bulker,N,
Turkey,Karya Denizcilik ve Gemi Insaat Sanayi ve Ticaret AS ,Frigia,7507485,Panama,"Alang, India",Karya Denizcilik ve Gemi Insaat Sanayi ve Ticaret AS ,Karya Denizcilik ve Gemi Insaat Sanayi ve Ticaret AS ,1978,424,8122,Bulker,Y,
Turkey,Batinak Group ,Gulmar,8014708,Turkey,"Alang, India",Gulmar Denizcilik Nakliyat Ticaret Limited Sirketi ,Gulmar Denizcilik Nakliyat Ticaret Limited Sirketi ,1981,430,6890,Bulker,Y,
Turkey,Bergen Shipping Limited,Yasin C,8208191,Turkey,"Alang, India",Bergen Shipping Limited,Yakamoz Denizcilik ic ve Denizcilik ve Ticaret Sirketi ,1982,475,8832,Bulker,Y,
Turkey,Mardeniz Shipping Management Company Incorporated,Gokcan,8124802,Turkey,"Alang, India",Kardeniz Denizcilik Isletmecileri A.S. ,Kardeniz Denizcilik Isletmecileri A.S. ,1984,510,7738,Bulker,Y,
UAE,Emirates Trading Agency LLC,Safeer Express,8127282,Bahamas,"Alang, India",Emirates Trading Agency LLC,DB Eta Corporation ,1983,500,12478,Bulk and Oil Carrier,N,
UAE,Thai Pacific Maritime Limited,Siam Opal,8509430,Bahamas,"Alang, India",Thai Pacific Maritime Limited,ETA Ship Management Company Limited ,1985,unknown,6559,Bulker,Y,
UAE,Green Valley Shipping LLC,Aiud,8601795,Comoros,"Alang, India",Green Valley Shipping LLC,New Shipping Vision SAL ,1988,unknown,unknown,General cargo ship,Y,
UAE,Navegadora Panoceanica S.A.,Sea Bright,7641073,Comoros,"Alang, India",Navegadora Panoceanica S.A.,Swift Maritime S.A. ,1977,465,7975,Bulker,Y,
UAE,Thai Pacific Maritime Limited,Siam Star,8300597,Malta,"Alang, India",Thai Pacific Maritime Limited,Future Marine Limited ,1984,488,6232,Bulker,Y,
UAE,Dubai Coast Shipping LLC,Falcon Eye 1,7721407,Panama,"Alang, India",Dubai Coast Shipping LLC,Gulf Falcon Shipping and Trading SA ,1984,unknown,5199,General cargo ship,Y,
UAE,Gulf of Aden Shipping (LLC),Opal II,7920027,Panama,"Alang, India",Gulf of Aden Shipping (LLC),Pacific Ocean Shipping & Trading Company Limited S.A. ,1981,unknown,6807,Bulker,Y,
UAE,Gulf of Aden Shipping (LLC),Orient III,7374632,Panama,"Alang, India",Gulf of Aden Shipping (LLC),Orient Royal Star Maritime Shipping ,1975,unknown,unknown,Bulker,Y,
UAE,Gulf of Aden Shipping (LLC),Tycoon II,8503072,Panama,"Alang, India",Gulf of Aden Shipping (LLC),Antarctic Ocean Shipping & Trading Corporation ,1986,420,8355,Bulker,N,
UAE,Dubai Coast Shipping LLC ,Alexi I,7525566,St Kitts-Nevis,"Alang, India",Dubai Coast Shipping LLC ,Golden Flag Marine Management ,1977,unknown,6316,Bulker,Y,
UAE,Gulf Energy Maritime (GEM) PJSC,Star 11,8617029,St Kitts-Nevis,"Alang, India",International Tanker Management Holding Limited (ITM) ,Gulf Star Shipping Company Limited ,1989,422,8892,Chemical and oil tanker,N,
UAE,Veesham Shipping Inc.,Sea Lion 1,7414781,St Kitts-Nevis,"Alang, India",Veesham Shipping Inc.,Veesham Shipping Inc.,1976,unknown,unknown,Chemical and oil tanker,N,
UK,Sea Management Ltd,Elbrus,8918095,Belize,"Alang, India",Sea Management Limited ,Dalwood Marine ,1992,unknown,7175,General Cargo ship,Y,
UK,Sea Management Ltd,Etna,8918100,Belize,"Alang, India",Sea Management Ltd,Glenbrook Maritime Co,1992,unknown,7175,General Cargo ship,Y,
UK,Sea Management Ltd,Everest,9015709,Belize,"Alang, India",Sea Management Limited ,Deena Shipping Incorporated ,1994,unknown,7122,General Cargo ship,Y,
UK,F.G.M. Ship Management Company Limited,Kefah F,7412915,Cambodia,"Alang, India",F.G.M. Ship Management Company Limited,Kefah Shipping Co ,1976,472,3500,General Cargo ship,N,
UK,Union Maritime Limited,Union Brave,8001115,Comoros,"Alang, India",Union Maritime Limited,Union Brave Limited ,1983,425,5591,Product Tanker ,Y,
UK,INTRESCO Limited,St. George,8624553,Liberia,"Alang, India",INTRESCO Limited,George Navigation Company Incorporated ,1987,480,13330,Bulker,Y,
UK,Norse Management (UK) Limited,Magda,9002934,Liberia,"Alang, India",Norse Management (UK) Limited,Magda Shipping Limited ,1992,unknown,14650,Bulk and Oil Carrier,N,
UK,Norse Management (UK) Limited,Matilda,9011935,Liberia,"Alang, India",Norse Management (UK) Limited,Matilda Shipping Limited ,1993,418,14710,Bulk and Oil Carrier,N,
UK,Optinordic Ltd,Continental,9039688,Liberia,"Alang, India",Unknown,Unknown,1993,430,14164,Crude Oil Tanker,N,
UK,Seven Seas Maritime Limited,Alberta,8323197,Malta,"Alang, India",Seven Seas Maritime Limited,Amphitrite Maritime Limited ,1984,unknown,7633,Bulker,N,
UK,Holbud Ship Management Limited,Originator,8223555,Panama,"Alang, India",Holbud Ship Management Limited,Kilmar Worldwide Corporation ,1985,435,7750,Bulker,Y,
UK,Holbud Ship Management Limited,Protector,8307349,Panama,"Alang, India",Holbud Ship Management Limited,Dawnbridge Maritime Corporation ,1984,375,7800,Bulker,Y,
UK,CB Marine Limited,Richard,8404707,St Kitts-Nevis,"Alang, India",CB Marine Limited,Baltanas Shipping Limited ,1986,unknown,4921,General Cargo ship,Y,
UK,Imperial Shipping Limited,Vikingland,7718541,Sweden,"Alang, India",Imperial Shipping Limited,Vikingland Limited ,1979,485,4124,RoRo,Y,
UK,DHT Holdings Incorporated,Rebecca,9043031,Tuvalu,"Alang, India",DHT Maritime Incorporated ,Rebecca Tanker Corporation ,1994,485,17000,Crude Oil Tanker,N,
UK,Imperial Shipping Limited ,Balticland,7514414,UK,"Alang, India",Imperial Shipping Limited ,Elder Shipping Limited ,1977,422,6765,General Cargo ship,Y,
UK,Imperial Shipping Limited ,Dania,7624051,UK,"Alang, India",Imperial Shipping Limited ,Doyen Shipping Limited ,1978,unknown,10580,RoRo,Y,
UK,Imperial Shipping Limited,Thuleland,7519270,UK,"Alang, India",Imperial Shipping Limited,Veteran Shipping Limited ,1977,unknown,9700,General Cargo ship,Y,
UK,Imperial Shipping Limited ,Vegaland,7718539,UK,"Alang, India",Imperial Shipping Limited ,Vegaland Limited,1979,480,10907,RoRo,Y,
UK,Lomar Shipping Limited ,Ocean,9162605,UK,"Alang, India",Lomar Shipping Limited ,Ocean Containerships II AS ,1999,unknown,9890,Containership,Y,
Ukraine,Tech Project Limited,Cape M.,8821618,Dominica,"Alang, India",Tech Project Limited,Orbis Maritime Company ,1990,433,19000,Bulker,Y,
Ukraine,Unimor Shipping Services Limited,Livadia,8110332,Liberia,"Alang, India",Unimor Shipping Agency ,Renfrew Marine Limited ,1983,410,10952,Bulker,Y,
Ukraine,Unimor Shipping Services Limited ,St Mark,8202733,Liberia,"Alang, India",Unimor Shipping Agency ,Nikolas Shipping Company Incorporated ,1983,unknown,unknown,Bulker,Y,
Ukraine,Unimor Shipping Services Limited ,St Vladimir,8134962,Liberia,"Alang, India",Unimor Shipping Services Limited ,Zosima Nav. Company Incorporated,1982,455,14800,Bulker,Y,
Ukraine,Commercial Fleet of Donbass LLC,Makeev,8101927,Moldova,"Alang, India",Commercial Fleet of Donbass LLC,Commercial Fleet of Donbass LLC,1982,415,7935,Bulker,N,
Ukraine,Fedcomshipping Limited,Pioneer Sky,8026177,Panama,"Alang, India",Fedcominvest Monaco SAM ,Porenko Maritime Incorporated ,1983,unknown,unknown,Bulker,Y,
Ukraine,Fedcomshipping Limited,St Peter,8001036,Panama,"Alang, India",Fedcominvest Monaco SAM ,Shoresea Maritime Incorporated ,1982,unknown,unknown,Bulker,Y,
Ukraine,Fedcomshipping Limited,Sv. Nikolay,8025329,Panama,"Alang, India",Fedcominvest Monaco SAM ,Capira Navigation S.A. ,1983,unknown,7848,Bulker,Y,
Ukraine,BM Shipping Limited,Zoitsa,7701043,St Vincent & Grenadines,"Alang, India",BM Shipping Limited,Western Shipping Limited ,1978,500,6442,Bulker,Y,
Ukraine,Commercial Fleet of Donbass LLC ,Dobr,8101939,Ukraine,"Alang, India",Commercial Fleet of Donbass LLC ,Commercial Fleet of Donbass LLC ,1982,unknown,unknown,Bulker,N,
Unknown,Unknown,Global Star,8800767,Mongolia,"Alang, India",Unknown,Banseas Incorporated ,1989,unknown,2601,Chemical tanker,N,
Unknown,Unknown,C. Wind,8130746,St Kitts-Nevis,"Alang, India",Unknown,Unknown,1983,unknown,8913,Bulker,Y,
USA,Independence Maritime Agency Incorporated,Nassau Pride,8110320,Bahamas,"Alang, India",Trojan Maritime Incorporated ,Puritan Corporation ,1985,unknown,7897,Bulker,Y,
USA,Marinakis Chartering Incorporated,Trader,8117055,Greece,"Alang, India",Mega Shipping Line Corporation ,Trader Special Maritime Enterprises ,1984,unknown,7714,Bulker,Y,
USA,Elliott Key Limited ,Madura,9080405,Liberia,"Alang, India",Elliott Key Limited ,Elliott Key Limited ,1994,448,unknown,Containership,Y,
USA,Seaboard Corporation ,Costa,8200591,Panama,"Alang, India",Seaboard Marine Limited ,Seaboard Costa Rica Limited ,1984,265,unknown,RoRo,Y,
USA,TBS International Plc ,Biloxi Belle,8316261,Philippines,"Alang, India",TBS Shipping Services Incorporated ,Filscan Shipping Incorporated ,1984,428,7341,Bulker,Y,
USA,TBS International Plc ,Fox Maiden,8306838,Philippines,"Alang, India",TBS Shipping Services Incorporated ,Cumberland Nav. Corporation ,1985,448,9207,Bulker,Y,
USA,TBS International Plc,Mohave Maiden,8308824,Philippines,"Alang, India",TBS Shipping Services Incorporated ,Botelho Shipping Corporation ,1984,471,6408,Bulker,Y,
USA,TBS International Plc,Mohawk Princess,8005599,Philippines,"Alang, India",TBS Shipping Services Incorporated ,Overseas Bulk Transport Incorporated ,1982,485,8196,Bulker,Y,
USA,Government of The United States of America ,Gibson 11,8320547,St Kitts-Nevis,"Alang, India",Government of The United States of America ,Government of The United States of America ,1984,370,13281,RoRo,Y,
Vietnam,Viet Hai Shipping and Real Properities Corporation ,Titan,8408399,Comoros,"Alang, India",Viet Hai Shipping and Real Properities Corporation ,Viet Hai Shipping and Real Properities Corporation ,1985,383,10785,Bulker,Y,
Vietnam,Hoang Son Company Limited,Hoang Son Sky,8312083,Mongolia,"Alang, India",Hoang Son Company Limited,Hoang Son Company Limited,1984,475,6378,Bulker,N,
Vietnam,Sunrise Shipping & Trading Joint Stock Company ,Sunrise 89,8029820,Mongolia,"Alang, India",Sunrise Shipping & Trading Joint Stock Company ,Sunrise Shipping & Trading Joint Stock Company ,1981,405,5215,Bulker,Y,
